ID,Estado,Codigo,EAN,Nombre,Unidad,Categoria,Precio Base,Sucursal Dueña,Sucursal (Stock/Precio),Stock Actual,Stock Minimo,Precio Venta,Diferencia Precio (Base vs Venta)
cmlh08eh50005l204lf79mfa0,Activo,"INT1770752356169","7791560512593","mumm leger x750ml",Un,"bebidas",30000,"Global","Suc. Cepernic",0,6,30000,0
cmlh08eh50005l204lf79mfa0,Activo,"INT1770752356169","7791560512593","mumm leger x750ml",Un,"bebidas",30000,"Global","Suc. Rivadavia",2,6,30000,0
cmlh08eh50005l204lf79mfa0,Activo,"INT1770752356169","7791560512593","mumm leger x750ml",Un,"bebidas",30000,"Global","Suc. Perito Moreno",0,6,30000,0
cmlfp3g92000fl104k4uq889t,Activo,"INT1770673183238","7798113302496","MANAOS POMELO BLANCO X354CM3",Un,"bebidas",1500,"Global","Suc. Cepernic",-2,6,1500,0
cmlfp3g92000fl104k4uq889t,Activo,"INT1770673183238","7798113302496","MANAOS POMELO BLANCO X354CM3",Un,"bebidas",1500,"Global","Suc. Rivadavia",7,6,2000,500
cmlfp3g92000fl104k4uq889t,Activo,"INT1770673183238","7798113302496","MANAOS POMELO BLANCO X354CM3",Un,"bebidas",1500,"Global","Suc. Perito Moreno",0,6,1500,0
cmlfowkv30003l704npx2xseh,Activo,"INT1770672862622","7790895643767","ADES MULTIFRUTAX200ML",Un,"bebidas",1500,"Global","Suc. Cepernic",0,6,1500,0
cmlfowkv30003l704npx2xseh,Activo,"INT1770672862622","7790895643767","ADES MULTIFRUTAX200ML",Un,"bebidas",1500,"Global","Suc. Rivadavia",17,6,1500,0
cmlfowkv30003l704npx2xseh,Activo,"INT1770672862622","7790895643767","ADES MULTIFRUTAX200ML",Un,"bebidas",1500,"Global","Suc. Perito Moreno",0,6,1500,0
cmlibba2a0000ky04p5r7ndpq,Activo,"INT1770831432369","INT3134278394","pote de x150g",Un,"Heladeria",5000,"Global","Suc. Cepernic",0,20,5000,0
cmlibba2a0000ky04p5r7ndpq,Activo,"INT1770831432369","INT3134278394","pote de x150g",Un,"Heladeria",5000,"Global","Suc. Rivadavia",50,20,5000,0
cmlibba2a0000ky04p5r7ndpq,Activo,"INT1770831432369","INT3134278394","pote de x150g",Un,"Heladeria",5000,"Global","Suc. Perito Moreno",0,20,5000,0
cmlfo6r840009l104ss6iuhiu,Activo,"INT1770671657811","7790895005794","COCA COLA X2,5L",Un,"bebidas",7000,"Global","Suc. Cepernic",0,6,7000,0
cmlfo6r840009l104ss6iuhiu,Activo,"INT1770671657811","7790895005794","COCA COLA X2,5L",Un,"bebidas",7000,"Global","Suc. Rivadavia",0,6,7000,0
cmlfo6r840009l104ss6iuhiu,Activo,"INT1770671657811","7790895005794","COCA COLA X2,5L",Un,"bebidas",7000,"Global","Suc. Perito Moreno",0,6,7000,0
cmlfpzy5y000ol704ev97yme6,Activo,"INT1770674699446","7790950134100","dr.lemon limon x1l",Un,"bebidas",6000,"Global","Suc. Cepernic",0,6,6000,0
cmlfpzy5y000ol704ev97yme6,Activo,"INT1770674699446","7790950134100","dr.lemon limon x1l",Un,"bebidas",6000,"Global","Suc. Rivadavia",2,6,6000,0
cmlfpzy5y000ol704ev97yme6,Activo,"INT1770674699446","7790950134100","dr.lemon limon x1l",Un,"bebidas",6000,"Global","Suc. Perito Moreno",0,6,6000,0
cmlfq13u0000ll104co4wa8r9,Activo,"INT1770674753447","7790950131918","dr.lemon vodka x1l",Un,"bebidas",6000,"Global","Suc. Cepernic",0,6,6000,0
cmlfq13u0000ll104co4wa8r9,Activo,"INT1770674753447","7790950131918","dr.lemon vodka x1l",Un,"bebidas",6000,"Global","Suc. Rivadavia",4,6,6000,0
cmlfq13u0000ll104co4wa8r9,Activo,"INT1770674753447","7790950131918","dr.lemon vodka x1l",Un,"bebidas",6000,"Global","Suc. Perito Moreno",0,6,6000,0
cmlfoq9uk0000l704tbzjqvl8,Activo,"INT1770672568411","7790895000454","FANTA NARANJA X1,5L",Un,"bebidas",7000,"Global","Suc. Cepernic",0,6,7000,0
cmlfoq9uk0000l704tbzjqvl8,Activo,"INT1770672568411","7790895000454","FANTA NARANJA X1,5L",Un,"bebidas",7000,"Global","Suc. Rivadavia",2,6,7000,0
cmlfoq9uk0000l704tbzjqvl8,Activo,"INT1770672568411","7790895000454","FANTA NARANJA X1,5L",Un,"bebidas",7000,"Global","Suc. Perito Moreno",0,6,7000,0
cmlfo5s1c000fl4042pwz3umv,Activo,"INT1770671612207","7790895001017","FANTA NARANJA X2,25L",Un,"bebidas",7000,"Global","Suc. Cepernic",0,6,7000,0
cmlfo5s1c000fl4042pwz3umv,Activo,"INT1770671612207","7790895001017","FANTA NARANJA X2,25L",Un,"bebidas",7000,"Global","Suc. Rivadavia",6,6,7000,0
cmlfo5s1c000fl4042pwz3umv,Activo,"INT1770671612207","7790895001017","FANTA NARANJA X2,25L",Un,"bebidas",7000,"Global","Suc. Perito Moreno",0,6,7000,0
cmlfoyx4h000cl504q5ryuehh,Activo,"INT1770672971824","7790895000782","COCA COLA X500ML",Un,"bebidas",2500,"Global","Suc. Cepernic",0,0,2500,0
cmlfoyx4h000cl504q5ryuehh,Activo,"INT1770672971824","7790895000782","COCA COLA X500ML",Un,"bebidas",2500,"Global","Suc. Rivadavia",0,0,2500,0
cmlfoyx4h000cl504q5ryuehh,Activo,"INT1770672971824","7790895000782","COCA COLA X500ML",Un,"bebidas",2500,"Global","Suc. Perito Moreno",22,0,2500,0
cmlfo8sef000fl704yrn9rvj4,Activo,"INT1770671752647","7790895001413","COCA COLA X1L",Un,"bebidas",5000,"Global","Suc. Cepernic",0,0,5000,0
cmlfo8sef000fl704yrn9rvj4,Activo,"INT1770671752647","7790895001413","COCA COLA X1L",Un,"bebidas",5000,"Global","Suc. Rivadavia",0,0,5000,0
cmlfo8sef000fl704yrn9rvj4,Activo,"INT1770671752647","7790895001413","COCA COLA X1L",Un,"bebidas",5000,"Global","Suc. Perito Moreno",16,0,5000,0
cmlfpg1p0000nl504sxwoldvi,Activo,"INT1770673770900","7790895000430","coca cola x1,5l",Un,"bebidas",6000,"Global","Suc. Cepernic",14,6,6000,0
cmlfpg1p0000nl504sxwoldvi,Activo,"INT1770673770900","7790895000430","coca cola x1,5l",Un,"bebidas",6000,"Global","Suc. Rivadavia",24,6,6000,0
cmlfpg1p0000nl504sxwoldvi,Activo,"INT1770673770900","7790895000430","coca cola x1,5l",Un,"bebidas",6000,"Global","Suc. Perito Moreno",0,6,6000,0
cmlih14v2001gjp0492nh2p4p,Activo,"INT1770841036765","779089500100","sprite 2,25l",Un,"bebidas",6000,"Global","Suc. Cepernic",4,6,6000,0
cmlih14v2001gjp0492nh2p4p,Activo,"INT1770841036765","779089500100","sprite 2,25l",Un,"bebidas",6000,"Global","Suc. Rivadavia",0,0,6000,0
cmlih14v2001gjp0492nh2p4p,Activo,"INT1770841036765","779089500100","sprite 2,25l",Un,"bebidas",6000,"Global","Suc. Perito Moreno",0,0,6000,0
cmlfq2310000ol10402v5ovip,Activo,"INT1770674799059","7792798002399","patagonia 24.7 x730cm3",Un,"bebidas",6000,"Global","Suc. Cepernic",0,6,6000,0
cmlfq2310000ol10402v5ovip,Activo,"INT1770674799059","7792798002399","patagonia 24.7 x730cm3",Un,"bebidas",6000,"Global","Suc. Rivadavia",5,6,6000,0
cmlfq2310000ol10402v5ovip,Activo,"INT1770674799059","7792798002399","patagonia 24.7 x730cm3",Un,"bebidas",6000,"Global","Suc. Perito Moreno",0,6,6000,0
cmlfpx5we000ll704xb09wq8o,Activo,"INT1770674569501","7792798003938","patagonia vera ipa x473cm3",Un,"bebidas",4000,"Global","Suc. Cepernic",0,6,4000,0
cmlfpx5we000ll704xb09wq8o,Activo,"INT1770674569501","7792798003938","patagonia vera ipa x473cm3",Un,"bebidas",4000,"Global","Suc. Rivadavia",15,6,4000,0
cmlfpx5we000ll704xb09wq8o,Activo,"INT1770674569501","7792798003938","patagonia vera ipa x473cm3",Un,"bebidas",4000,"Global","Suc. Perito Moreno",0,6,4000,0
cmlvju2na0005ky049c6pl1pd,Inactivo,"INT1771631806438","","gancia 950ml",Un,"bebidas",18000,"Global","Suc. Cepernic",0,0,18000,0
cmlvju2na0005ky049c6pl1pd,Inactivo,"INT1771631806438","","gancia 950ml",Un,"bebidas",18000,"Global","Suc. Rivadavia",0,0,18000,0
cmlvju2na0005ky049c6pl1pd,Inactivo,"INT1771631806438","","gancia 950ml",Un,"bebidas",18000,"Global","Suc. Perito Moreno",3,0,18000,0
cmlvhneaw0000l804psc9akvx,Inactivo,"INT1771628135720","","Quilmes de 1 litro",Un,"bebidas",6000,"Global","Suc. Cepernic",0,0,6000,0
cmlvhneaw0000l804psc9akvx,Inactivo,"INT1771628135720","","Quilmes de 1 litro",Un,"bebidas",6000,"Global","Suc. Rivadavia",0,0,6000,0
cmlvhneaw0000l804psc9akvx,Inactivo,"INT1771628135720","","Quilmes de 1 litro",Un,"bebidas",6000,"Global","Suc. Perito Moreno",25,0,6000,0
cmlfqgvka0003jr04125w90cf,Activo,"INT1770675489226","7791843008294","vi¤a de balbo x1125ml",Un,"bebidas",6000,"Global","Suc. Cepernic",0,0,6000,0
cmlfqgvka0003jr04125w90cf,Activo,"INT1770675489226","7791843008294","vi¤a de balbo x1125ml",Un,"bebidas",6000,"Global","Suc. Rivadavia",0,0,6000,0
cmlfqgvka0003jr04125w90cf,Activo,"INT1770675489226","7791843008294","vi¤a de balbo x1125ml",Un,"bebidas",6000,"Global","Suc. Perito Moreno",2,6,7000,1000
cmlslxnxq0005jm04tt8164v8,Activo,"INT1771453934700","7798119220015","speed 250ml",Un,"kiosco",3000,"Global","Suc. Cepernic",45,3,3000,0
cmlslxnxq0005jm04tt8164v8,Activo,"INT1771453934700","7798119220015","speed 250ml",Un,"kiosco",3000,"Global","Suc. Rivadavia",23,6,3000,0
cmlslxnxq0005jm04tt8164v8,Activo,"INT1771453934700","7798119220015","speed 250ml",Un,"kiosco",3000,"Global","Suc. Perito Moreno",0,24,3000,0
cmlvgjo77001il2043ogu1700,Activo,"INT1771626282307","","agua de 2 litros ",Un,"bebidas",2500,"Global","Suc. Cepernic",0,0,2500,0
cmlvgjo77001il2043ogu1700,Activo,"INT1771626282307","","agua de 2 litros ",Un,"bebidas",2500,"Global","Suc. Rivadavia",0,0,2500,0
cmlvgjo77001il2043ogu1700,Activo,"INT1771626282307","","agua de 2 litros ",Un,"bebidas",2500,"Global","Suc. Perito Moreno",15,0,2500,0
cmlvjvk230005l704x69n8frg,Activo,"INT1771631875658","","vino finca Natalia",Un,"bebidas",10000,"Global","Suc. Cepernic",0,0,10000,0
cmlvjvk230005l704x69n8frg,Activo,"INT1771631875658","","vino finca Natalia",Un,"bebidas",10000,"Global","Suc. Rivadavia",0,0,10000,0
cmlvjvk230005l704x69n8frg,Activo,"INT1771631875658","","vino finca Natalia",Un,"bebidas",10000,"Global","Suc. Perito Moreno",4,0,10000,0
cmlvhou020005l804h8xukspm,Inactivo,"INT1771628202721","","Brama de 1 litro ",Un,"bebidas",6000,"Global","Suc. Cepernic",0,0,6000,0
cmlvhou020005l804h8xukspm,Inactivo,"INT1771628202721","","Brama de 1 litro ",Un,"bebidas",6000,"Global","Suc. Rivadavia",0,0,6000,0
cmlvhou020005l804h8xukspm,Inactivo,"INT1771628202721","","Brama de 1 litro ",Un,"bebidas",6000,"Global","Suc. Perito Moreno",8,0,6000,0
cmlfqjy1f0003jp044whlrsj6,Activo,"INT1770675632403","7790314057014","vino tinto resero x1l",Un,"bebidas",3000,"Global","Suc. Cepernic",0,0,3000,0
cmlfqjy1f0003jp044whlrsj6,Activo,"INT1770675632403","7790314057014","vino tinto resero x1l",Un,"bebidas",3000,"Global","Suc. Rivadavia",0,0,3000,0
cmlfqjy1f0003jp044whlrsj6,Activo,"INT1770675632403","7790314057014","vino tinto resero x1l",Un,"bebidas",3000,"Global","Suc. Perito Moreno",13,6,3000,0
cmlidl7mz000ljs04oq7nsgfb,Activo,"INT1770835255018","7798125811405","cintas crocantes sabor pancho c/mostaza x125g",Un,"kiosco",2000,"Global","Suc. Cepernic",0,2,2000,0
cmlidl7mz000ljs04oq7nsgfb,Activo,"INT1770835255018","7798125811405","cintas crocantes sabor pancho c/mostaza x125g",Un,"kiosco",2000,"Global","Suc. Rivadavia",2,2,2000,0
cmlidl7mz000ljs04oq7nsgfb,Activo,"INT1770835255018","7798125811405","cintas crocantes sabor pancho c/mostaza x125g",Un,"kiosco",2000,"Global","Suc. Perito Moreno",0,2,2000,0
cmlihg0u50000kz04ol8cr4un,Activo,"INT1770841731388","7798126073048","magdalenas Gaona frutilla",Un,"kiosco",2500,"Global","Suc. Cepernic",1,0,2500,0
cmlihg0u50000kz04ol8cr4un,Activo,"INT1770841731388","7798126073048","magdalenas Gaona frutilla",Un,"kiosco",2500,"Global","Suc. Rivadavia",0,0,2500,0
cmlihg0u50000kz04ol8cr4un,Activo,"INT1770841731388","7798126073048","magdalenas Gaona frutilla",Un,"kiosco",2500,"Global","Suc. Perito Moreno",0,0,2500,0
cmlfprpvr000klb04njhjz0ho,Activo,"INT1770674315451","7792798013975","stella artois x710cm3",Un,"bebidas",6000,"Global","Suc. Cepernic",18,6,6000,0
